id,neighbourhood,district,property_type,room_type,accommodates,n_bathrooms,bedrooms,beds,price,wifi,kitchen,parking,balcony,bbq,washer,host_email,host_phone,host_work_email,longitude,latitude
20841091,Prenzlauer Berg Südwest,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,27.0,1,1,1,0,0,1,1,1,0,13.41798,52.53495
4706650,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.41892,52.49703
44409929,Prenzlauer Berg Südwest,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,117.0,1,1,0,1,0,0,1,1,0,13.41808,52.53941
22581406,Tiergarten Süd,Mitte,Entire rental unit,Entire home/apt,11,2.5,3.0,14.0,144.0,1,1,0,0,0,1,1,1,0,13.36319,52.50083
4718253,Rixdorf,Neukölln,Private room in rental unit,Private room,2,2.0,1.0,1.0,15.0,1,1,0,0,0,0,1,1,0,13.45238,52.47148
11093875,Schöneberg-Süd,Tempelhof - Schöneberg,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,97.0,1,1,0,0,0,1,1,1,1,13.34764,52.48791
4725318,Alt  Treptow,Treptow - Köpenick,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,180.0,1,1,1,0,0,1,1,1,0,13.4528,52.491
11097700,Schloß Charlottenburg,Charlottenburg-Wilm.,Private room in rental unit,Private room,1,1.0,1.0,1.0,23.0,1,1,0,0,0,1,1,1,0,13.28649,52.51421
17837343,Neuköllner Mitte/Zentrum,Neukölln,Private room in rental unit,Private room,2,0.0,1.0,1.0,20.0,1,1,0,0,0,1,1,1,0,13.42698,52.48176
17838393,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,6,1.5,3.0,4.0,80.0,1,1,0,0,0,1,1,1,0,13.47298,52.51426
4739680,Helmholtzplatz,Pankow,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,60.0,1,1,0,0,0,1,0,1,0,13.42426,52.54391
17841306,Parkviertel,Mitte,Private room in rental unit,Private room,2,0.0,1.0,1.0,26.0,1,1,0,0,0,1,1,1,0,13.35134,52.54784
11105701,südliche Luisenstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,1.0,40.0,1,1,0,0,0,1,1,1,0,13.44133,52.49783
17841139,Other,Treptow - Köpenick,Private room in home,Private room,1,1.5,1.0,1.0,36.0,1,1,1,0,0,1,1,1,0,13.51134,52.43437
4732406,Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,45.0,1,1,1,1,0,1,1,1,0,13.44913,52.52352
11111579,Prenzlauer Berg Nordwest,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,0,1,0,0,0,1,1,1,0,13.40396,52.54848
20853328,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,2.0,30.0,1,1,1,1,0,1,1,1,0,13.39033,52.50009
11112939,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Entire condo,Entire home/apt,4,2.0,1.0,2.0,200.0,1,1,0,0,0,1,1,1,0,13.46705,52.51088
21841981,Helmholtzplatz,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,153.0,1,1,1,1,0,1,1,1,0,13.41586,52.54075
11112288,Karl-Marx-Allee-Nord,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,3,1.5,2.0,2.0,100.0,1,1,0,0,0,1,1,1,0,13.44698,52.5228
4755905,Reuterstraße,Neukölln,Private room in rental unit,Private room,1,1.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.43756,52.48409
17855401,Schillerpromenade,Neukölln,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,1,1,1,1,0,1,1,1,0,13.42403,52.48392
20841228,Baumschulenweg,Treptow - Köpenick,Private room in rental unit,Private room,2,0.0,1.0,1.0,20.0,1,1,0,0,0,1,1,1,0,13.49181,52.46628
6541306,Prenzlauer Berg Südwest,Pankow,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,89.0,1,1,1,1,0,1,1,1,0,13.41035,52.53422
9862651,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Entire loft,Entire home/apt,6,1.0,3.0,3.0,150.0,1,1,1,0,0,1,1,1,1,13.39229,52.49179
17999044,Wedding Zentrum,Mitte,Private room in rental unit,Private room,2,0.0,1.0,1.0,20.0,1,1,0,0,0,1,0,1,0,13.36548,52.54917
20884990,Brunnenstr. Nord,Mitte,Entire loft,Entire home/apt,2,1.0,2.0,2.0,252.0,1,1,1,0,0,1,1,1,1,13.3952,52.53887
18982955,Schillerpromenade,Neukölln,Private room in rental unit,Private room,2,1.0,1.0,1.0,35.0,1,1,1,1,0,1,1,1,0,13.41939,52.47562
4840239,Reuterstraße,Neukölln,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,70.0,1,1,1,0,0,1,1,1,0,13.42838,52.49117
11223811,Other,Neukölln,Private room in rental unit,Private room,2,1.5,1.0,1.0,9.0,1,1,0,0,0,0,1,1,1,13.47607,52.42487
4845633,Rixdorf,Neukölln,Private room in rental unit,Private room,1,1.0,1.0,1.0,21.0,1,1,0,0,0,1,1,1,0,13.44807,52.47883
21299245,Reuterstraße,Neukölln,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,95.0,1,1,1,0,0,1,1,1,1,13.42591,52.49026
18983436,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,2,0.0,1.0,1.0,32.0,1,1,1,0,0,1,1,1,1,13.45143,52.50804
582320603285308755,Karl-Marx-Allee-Süd,Friedrichshain-Kreuzberg,Entire condo,Entire home/apt,2,1.0,1.0,1.0,162.0,1,1,1,0,0,1,1,1,0,13.44755,52.51502
